Quote,
““愛是恆久忍耐，又有恩慈；愛是不嫉妒；愛是不自誇，不張狂，不做害羞的事，不求自己的益處，不輕易發怒，不計算人的惡。”” —哥林多前書13:4-5
“要常常喜樂，不住的禱告，凡事謝恩；因為這是神在基督耶穌裡向你們所定的旨意。” —帖撒羅尼迦前書5:16-18
“應當一無罣慮，只要凡事藉著禱告、祈求，和感謝，將你們所要的告訴神。神所賜、出人意外的平安必在基督耶穌裡保守你們的心懷意念。” —腓立比書4:6-7
“願耶和華賜福給你，保護你。願耶和華使他的臉光照你，賜恩給你。願耶和華向你仰臉，賜你平安。” —民數記6:24-26
“但那等候耶和華的必重新得力。他們必如鷹展翅上騰；他們奔跑卻不困倦，行走卻不疲乏。” —以賽亞書40:31
“你不要害怕，因為我與你同在；不要驚惶，因為我是你的神。我必堅固你，我必幫助你；我必用我公義的右手扶持你。” —以賽亞書41:10
“我今日所吩咐你的話都要記在心上，也要殷勤教訓你的兒女。無論你坐在家裡，行在路上，躺下，起來，都要談論。” —申命記6:6-7
“耶和華說：我知道我向你們所懷的意念是賜平安的意念，不是降災禍的意念，要叫你們末後有指望。” —耶利米書29:11
“倚靠耶和華、以耶和華為可靠的，那人有福了！他必像樹栽於水旁，在河邊扎根，炎熱來到，並不懼怕，葉子仍必青翠，在乾旱之年毫無掛慮，而且結果不止。” —耶利米書17:7-8
“凡你們所做的都要憑愛心而做。” —哥林多前書16:14
“所以我告訴你們，凡你們禱告祈求的，無論是甚麼，只要信是得著的，就必得著。” —馬可福音11:24
“你所做的，要交託耶和華，你所謀的，就必成立。” —箴言16:3
“求他按著他豐盛的榮耀，藉著他的靈，叫你們心裡的力量剛強起來，使基督因你們的信，住在你們心裡，叫你們的愛心有根有基。” —以弗所書3:16-17
“求你使我清晨得聽你慈愛之言，因我倚靠你；求你使我知道當行的路，因我的心仰望你。” —詩篇143:8
“但願使人有盼望的神，因信將諸般的喜樂、平安充滿你們的心，使你們藉著聖靈的能力大有盼望。” —羅馬書15:13
“無論做甚麼，都要從心裡做，像是給主做的，不是給人做的，因你們知道從主那裡必得著基業為賞賜；你們所事奉的乃是主基督。” —歌羅西書3:23-24
“耶和華必在你前面行；他必與你同在，必不撇下你，也不丟棄你。不要懼怕，也不要驚惶。” —申命記31:8
“因我們行事為人是憑著信心，不是憑著眼見。” —哥林多後書5:7
“他們說：當信主耶穌，你和你一家都必得救。” —使徒行傳16:31
“耶和華要保護你，免受一切的災害；他要保護你的性命。你出你入，耶和華要保護你，從今時直到永遠。” —詩篇121:7-8
“你要專心仰賴耶和華，不可倚靠自己的聰明，在你一切所行的事上都要認定他，他必指引你的路。” —箴言3:5-6
“凡事謙虛、溫柔、忍耐，用愛心互相寬容。” —以弗所書4:2
“你們要事奉耶和華你們的神，他必賜福與你的糧與你的水，也必從你們中間除去疾病。” —出埃及記23:25
“不可使慈愛、誠實離開你，要繫在你頸項上，刻在你心版上。這樣，你必在神和世人眼前蒙恩寵，有聰明。” —箴言3:3-4
“耶穌對他說：復活在我，生命也在我。信我的人雖然死了，也必復活，凡活著信我的人必永遠不死。你信這話麼？” —約翰福音11:25-26
“如今常存的有信，有望，有愛這三樣，其中最大的是愛。” —哥林多前書13:13
“信就是所望之事的實底，是未見之事的確據。” —希伯來書11:1
“我豈沒有吩咐你麼？你當剛強壯膽！不要懼怕，也不要驚惶；因為你無論往那裡去，耶和華你的神必與你同在。” —約書亞記1:9
“所以，我親愛的弟兄們，你們務要堅固，不可搖動，常常竭力多做主工；因為知道，你們的勞苦在主裡面不是徒然的。” —哥林多前書15:58
“在這一切之外，要存著愛心，愛心就是聯絡全德的。” —歌羅西書3:14
“將你心所願的賜給你，成就你的一切籌算。” —詩篇20:4
“我們若照他的旨意求甚麼，他就聽我們，這是我們向他所存坦然無懼的心。” —約翰一書5:14
“你從水中經過，我必與你同在；你逿過江河，水必不漫過你；你從火中行過，必不被燒，火焰也不著在你身上。” —以賽亞書43:2
“耶和華啊，你是我的神；我要尊崇你，我要稱讚你的名。因為你以忠信誠實行過奇妙的事，成就你古時所定的。” —以賽亞書25:1
“耶穌對他說：你若能信，在信的人，凡事都能。” —馬可福音9:23
“主就是那靈；主的靈在那裡，那裡就得以自由。” —哥林多後書3:17
“神愛我們的心，我們也知道也信。神就是愛；住在愛裡面 的，就是住在神裡面，神也住在他裡面。” —約翰一書4:16
“在指望中要喜樂，在患難中要忍耐，禱告要恆切。” —羅馬書12:12
“我懼怕的時候要倚靠你。” —詩篇56:3
“你們要呼求我，禱告我，我就應允你們。” —耶利米書29:12
“你們要謹慎行事，不要像愚昧人，當像智慧人。要愛惜光陰，因為現今的世代邪惡。” —以弗所書5:15-16
“各人要隨本心所酌定的，不要作難，不要勉強，因為捐得樂意的人是神所喜愛的。” —哥林多後書9:7
“並要以恩慈相待，存憐憫的心，彼此饒恕，正如神在基督裡饒恕了你們一樣。” —以弗所書4:32
“約在半夜，保羅和西拉禱告，唱詩讚美神，眾囚犯也側耳而聽。” —使徒行傳16:25
“你們豈不知不義的人不能承受神的國麼？不要自欺！無論是淫亂的、拜偶像的、姦淫的、作孌童的、親男色的、偷竊的、貪婪的、醉酒的、辱罵的、勒索的，都不能承受神的國。” —哥林多前書6:9-10
“我將這些事告訴你們，是要叫你們在我裡面有平安。在世上，你們有苦難；但你們可以放心，我已經勝了世界。” —約翰福音16:33
“所以，你們該彼此勸慰，互相建立，正如你們素常所行的。” —帖撒羅尼迦前書5:11
“你們要恆切禱告，在此儆醒感恩。” —歌羅西書4:2
“遮掩人過的，尋求人愛；屢次挑錯的，離間密友。” —箴言17:9
“聖靈所結的果子，就是仁愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制。這樣的事沒有律法禁止。” —加拉太書5:22-23
“這稱為我名下的子民，若是自卑、禱告，尋求我的面，轉離他們的惡行，我必從天上垂聽，赦免他們的罪，醫治他們的地。” —歷代志下 7:14
“所以，你們因信基督耶穌都是神的兒子。你們受洗歸入基督的都是披戴基督了。” —加拉太書 3:26-27
“你要保守你心，勝過保守一切，因為一生的果效是由心發出。” —箴言 4:23
“我的心哪，你為何憂悶？為何在我裡面煩躁？應當仰望神，因我還要稱讚他。他是我臉上的光榮，是我的神。” —詩篇 42:11
“只要憑著信心求，一點不疑惑；因為那疑惑的人，就像海中的波浪，被風吹動翻騰。” —雅各書 1:6
“因為我耶和華你的神必攙扶你的右手，對你說：不要害怕！我必幫助你。” —以賽亞書 41:13
“凡勞苦擔重擔的人可以到我這裡來，我就使你們得安息。” —馬太福音 11:28
“水中照臉，彼此相符；人與人，心也相對。” —箴言 27:19
“看哪，弟兄和睦同居是何等地善，何等地美！” —詩篇 133:1
“你求告我，我就應允你，並將你所不知道、又大又難的事指示你。” —耶利米書 33:3
“弟兄們，我藉我們主耶穌基督的名勸你們都說一樣的話。你們中間也不可分黨，只要一心一意，彼此相合。” —哥林多前書 1:10
“不要效法這個世界，只要心意更新而變化，叫你們察驗何為神的善良、純全、可喜悅的旨意。” —羅馬書 12:2
“人為朋友捨命，人的愛心沒有比這個大的。” —約翰福音 15:13
“願頌讚歸與我們的主耶穌基督的父神，就是發慈悲的父，賜各樣安慰的神。我們在一切患難中，他就安慰我們，叫我們能用神所賜的安慰去安慰那遭各樣患難的人。” —哥林多後書 1:3-4
“所以，我們只管坦然無懼的來到施恩的寶座前，為要得憐恤，蒙恩惠，作隨時的幫助。” —希伯來書 4:16
“因為神賜給我們，不是膽怯的心，乃是剛強、仁愛、謹守的心。” —提摩太後書 1:7
“你的話是我腳前的燈，是我路上的光。” —詩篇 119:105
“我們愛，因為神先愛我們。” —約翰一書 4:19
“我靠著那加給我力量的，凡事都能做。” —腓立比書 4:13
“我的肉體和我的心腸衰殘；但神是我心裡的力量，又是我的福分，直到永遠。” —詩篇 73:26
“耶穌說：讓小孩子到我這裡來，不要禁止他們；因為在天國的，正是這樣的人。” —馬太福音 19:14
“疲乏的，他賜能力；軟弱的，他加力量。” —以賽亞書 40:29
“我們若認自己的罪，神是信實的，是公義的，必要赦免我們的罪，洗淨我們一切的不義。” —約翰一書 1:9
