ID,Recipe
1001,"名稱: 水果冰沙
食材:
冷凍水果（越多越好）
¼ 杯原味 2% 希臘優格
1 湯匙杏仁醬
½ 杯不加糖的杏仁奶
烹飪步驟：1. 將所有食材放入攪拌機中混合（確保水果完全冷凍以獲得最佳質地）。
營養成分（每份）：
~118 卡路里
~1g 脂肪
~29g 碳水化合物
~2g 蛋白質",
1002,"名稱: 希臘沙拉
食材:
1 根大黃瓜（切丁）
1 品脫葡萄番茄（切丁）
1 個青椒（切半）
½ 紅洋蔥（切薄片）
半杯卡拉馬塔橄欖（切半）
4 盎司 菲達起司（碎）
沙拉醬：
⅓ 杯紅酒醋
1 顆檸檬，榨汁
1 茶匙第戎芥末
2 瓣大蒜，切碎
半茶匙乾牛至
¼ 茶匙鹽
¼ 茶匙黑胡椒
半杯橄欖油
烹飪步驟：
1. 將所有蔬菜和起司放入大碗中（切丁或切半）。
2. 在另一碗中，將沙拉醬的食材混合並慢慢加入橄欖油，攪拌均勻。
3. 淋上沙拉醬，拌勻沙拉。
營養成分：
~396 卡路里
~36g 脂肪
~14g 碳水化合物
~7g 蛋白質",
1003,"名稱: 蘑菇湯
食材:
3 湯匙無鹽奶油
2 瓣大蒜（切末）
1 顆小紅蔥頭（切細）
4 盎司克里米蘑菇（切碎）
4 盎司白色洋菇（切碎）
2 湯匙中筋麵粉
3 杯雞高湯（或任何湯）
¼ 茶匙細海鹽
¼ 茶匙黑胡椒
烹飪步驟：
1. 在中火鍋中融化 2 湯匙奶油，加入大蒜、紅蔥頭和蘑菇炒 3-4 分鐘，直至蘑菇變棕色，然後轉移至碗中。
2. 加入剩餘的奶油，攪拌麵粉做成糊狀，再慢慢加入高湯，攪拌去除塊狀物。
3. 煮沸 3 分鐘，將蘑菇放回鍋中，繼續煮 2 分鐘，直到湯變得微濃稠。
4. 再煮 3 到 4 分鐘，然後盛入碗中，可以撒上蘑菇和香菜作為裝飾。
營養成分：
~175 卡路里
~10g 脂肪
~14g 碳水化合物
~6g 蛋白質",
1004,"名稱: 水果鬆餅
食材:
2 湯匙無鹽奶油
2 杯全麥白麵粉
2 茶匙泡打粉
½ 茶匙小蘇打
½ 茶匙鹽
2 顆雞蛋
1 ¼ 杯牛奶
2 湯匙蜂蜜
1 茶匙香草精
1 包水果
烹飪步驟：
1. 融化奶油並稍微冷卻。
2. 在大碗中，將麵粉、泡打粉、小蘇打和鹽混合均勻。
3. 在中碗中，將雞蛋、牛奶、蜂蜜、香草精和融化的奶油攪拌至順滑。與乾的食材混合，直到完全融合。
4. 用中火加熱烤盤，並輕輕噴上油。每次取 ¼ 杯麵糊倒入烤盤，每面烤約 2-3 分鐘，直至有氣泡形成，翻轉再煎 2 分鐘至金黃，然後加上水果和蜂蜜。
營養成分（每份）：
~140 卡路里
~4g 脂肪
~23g 碳水化合物
~5g 蛋白質",
1005,"名稱: 香蕉瑪芬
食材:
8 湯匙無鹽奶油（1 條）
4 根非常成熟的大香蕉
2 顆大雞蛋
¾ 杯淺或深色紅糖
1 茶匙香草精
½ 茶匙猶太鹽
1 茶匙小蘇打
1 ½ 杯中筋麵粉
烹飪步驟：
1. 預熱烤箱至 350°F，準備 12 孔瑪芬烤盤，噴上油或放上烘焙紙。
2. 融化 1 條奶油，稍微冷卻。
3. 把 4 根香蕉放入融化的奶油中搗成泥。加入 2 顆雞蛋、¾ 杯紅糖、1 茶匙香草精和 ½ 茶匙鹽，攪拌均勻。
4. 撒入 1 茶匙小蘇打，然後加入 1½ 杯麵粉，攪拌至混合。
5. 將麵糊平均分配到瑪芬烤盤中（每格約 ⅓ 杯）。
6. 烘烤 18-20 分鐘，中途翻轉，插入牙籤檢查是否乾淨。冷卻 5 分鐘後轉移至冷卻架上。
營養成分：
~190 卡路里
~8g 脂肪
~29g 碳水化合物
~2g 蛋白質",
1006,"名稱: 甜酸雞肉
食材:
2 ½ 磅無骨去皮雞胸肉
1 杯玉米澱粉
¼ 杯植物油
1 杯糖
3 顆雞蛋（輕輕打散）
6 湯匙番茄醬
¾ 杯蘋果醋
1 ½ 湯匙醬油
1 ½ 茶匙大蒜粉
鹽和胡椒
烹飪步驟：
1. 將雞肉切成小塊，撒上鹽和胡椒。預熱烤箱至 325°F。
2. 將雞肉先裹上玉米澱粉，再裹上蛋液。用中高火將雞肉兩面煎至金黃（不必煮熟）。轉移至烤盤中。
3. 混合糖、番茄醬、蘋果醋、醬油和大蒜粉，將混合物倒入雞肉上。
4. 以低溫烘烤約 30 分鐘，每 15 分鐘攪拌一次。然後可以搭配米飯一起享用。
營養成分：
~528 卡路里
~17g 脂肪
~58g 碳水化合物
~42g 蛋白質",
1007,"名稱: 酪梨吐司
食材:
1 片吐司
½ 顆成熟酪梨
少許鹽
烹飪步驟：
1. 把吐司烤至金黃酥脆。
2. 去除酪梨的核，使用湯匙挖出酪梨，放入碗中用叉子搗碎，加入少許鹽（約 ⅛ 茶匙），如果喜歡可以再加一些。
3. 把搗碎的酪梨塗在吐司上。你可以就這樣食用，或加入額外的配料，例如：海鹽、番茄片、橄欖油或紅椒片。
營養成分：
~237 卡路里
~15.8g 脂肪
~21.4g 碳水化合物
~6.1g 蛋白質",
1008,"名稱: 經典燉飯
食材:
4 杯低鈉雞高湯
5 湯匙無鹽奶油
1 顆中型白洋蔥（切細，約 1 ½ 杯）
2 ½ 茶匙猶太鹽
1 ½ 杯阿波里奧米或卡納羅米
3 盎司帕馬森起司（切細，約 1 ½ 杯）
¾ 茶匙新鮮研磨黑胡椒
烹飪步驟：
1. 在中鍋中加熱高湯至冒煙，然後轉小火保持溫熱。
2. 在大煎鍋中用中火融化 4 湯匙奶油，加入洋蔥和 ½ 茶匙鹽，煮至洋蔥變軟透明（約 8-10 分鐘）。加入米飯，繼續煮至米邊緣略透明（約 1-2 分鐘）。
3. 加入 3 杯溫熱高湯，攪拌並用中高火煮沸。轉小火，蓋上鍋蓋，煮 10-15 分鐘直到米飯剛剛熟透。
4. 打開鍋蓋，加入 ½ 杯溫高湯，繼續煮至吸收完（1-2 分鐘）。若米飯仍略硬，加入剩餘的高湯，繼續攪拌直到完全熟透。
5. 完成後，從火爐取下，加入帕馬森起司、胡椒和剩下的奶油，攪拌至奶油融化，並可根據需要加鹽調味，然後立即享用。
營養成分：
~724 卡路里
~30g 脂肪
~68g 碳水化合物
~30g 蛋白質",
1009,"名稱: 可頌三明治
食材:
8 顆雞蛋
4 片熟培根
4 片可頌麵包
½ 杯鱷梨醬
4 片胡椒起司
½ 杯基本大蒜奶油番茄醬
烹飪步驟：
1. 在 350°F 的烤箱中將可頌麵包烤幾分鐘，切面朝下放在烤盤上。
2. 當可頌麵包已經烤好，其他食材也準備好時，將雞蛋煎至嫩滑並攪拌均勻。
3. 按照順序組合三明治，加入番茄醬、雞蛋、起司、培根和鱷梨醬。
營養成分：
~487 卡路里
~35g 脂肪
~20g 碳水化合物
~27g 蛋白質",
1010,"名稱: 香蕉布丁杯
食材:
3 根熟香蕉（分開使用）
2 杯全脂香草希臘優格
1 ½ 湯匙糖
2 杯粗碎香草餅乾（約 4 盎司）
鮮奶油
烹飪步驟：
1. 在中碗中搗爛 1 根香蕉。加入優格和糖，攪拌均勻。
2. 在 4 個 8 盎司透明玻璃杯的底部撒上約 2 湯匙的壓碎餅乾。將剩下的 2 根香蕉切片。將約 3 湯匙的酸奶混合物和 3 到 4 片香蕉放在餅乾層上。重複這一層的做法兩次。
3. 最後放上剩餘的壓碎餅乾和鮮奶油（若喜歡）。
營養成分：
~388 卡路里
~10g 脂肪
~65g 碳水化合物
~12g 蛋白質
